section,strat,strat2,sampleid,del13Ctoc,measurement,value
Bonenburg,Contorta Beds,Pre-event Beds,0,-27.5,height,3.01
Bonenburg,Contorta Beds,Pre-event Beds,0,-27.5,CaCO3,13.34
Bonenburg,Contorta Beds,Pre-event Beds,0,-27.5,TN,0.06
Bonenburg,Contorta Beds,Pre-event Beds,0,-27.5,TOCcfb,1.16
Bonenburg,Contorta Beds,Pre-event Beds,0,-27.5,Na_Al,0.03139553179448644
Bonenburg,Contorta Beds,Pre-event Beds,0,-27.5,K_Al,0.21647278805557907
Bonenburg,Contorta Beds,Pre-event Beds,100,-27.3,height,3.95
Bonenburg,Contorta Beds,Pre-event Beds,100,-27.3,CaCO3,3.84
Bonenburg,Contorta Beds,Pre-event Beds,100,-27.3,TN,0.07
Bonenburg,Contorta Beds,Pre-event Beds,100,-27.3,TOCcfb,0.96
Bonenburg,Contorta Beds,Pre-event Beds,100,-27.3,Na_Al,0.024969749981154404
Bonenburg,Contorta Beds,Pre-event Beds,100,-27.3,K_Al,0.21139687440462065
Bonenburg,Contorta Beds,Pre-event Beds,150,-27,height,4.43
Bonenburg,Contorta Beds,Pre-event Beds,150,-27,CaCO3,5.86
Bonenburg,Contorta Beds,Pre-event Beds,150,-27,TN,0.07
Bonenburg,Contorta Beds,Pre-event Beds,150,-27,TOCcfb,1.25
Bonenburg,Contorta Beds,Pre-event Beds,150,-27,Na_Al,0.019748802257822114
Bonenburg,Contorta Beds,Pre-event Beds,150,-27,K_Al,0.223754145471994
Bonenburg,Contorta Beds,Pre-event Beds,200,-27.8,height,4.94
Bonenburg,Contorta Beds,Pre-event Beds,200,-27.8,CaCO3,12.84
Bonenburg,Contorta Beds,Pre-event Beds,200,-27.8,TN,0.07
Bonenburg,Contorta Beds,Pre-event Beds,200,-27.8,TOCcfb,1.52
Bonenburg,Contorta Beds,Pre-event Beds,200,-27.8,Na_Al,0.02312054898476736
Bonenburg,Contorta Beds,Pre-event Beds,200,-27.8,K_Al,0.23632492666750535
Bonenburg,Contorta Beds,Pre-event Beds,250,-27.6,height,5.25
Bonenburg,Contorta Beds,Pre-event Beds,250,-27.6,CaCO3,3.34
Bonenburg,Contorta Beds,Pre-event Beds,250,-27.6,TN,0.09
Bonenburg,Contorta Beds,Pre-event Beds,250,-27.6,TOCcfb,2.45
Bonenburg,Contorta Beds,Pre-event Beds,250,-27.6,Na_Al,0.033004847608962995
Bonenburg,Contorta Beds,Pre-event Beds,250,-27.6,K_Al,0.24339844443290312
Bonenburg,Contorta Beds,Pre-event Beds,275,-27,height,5.68
Bonenburg,Contorta Beds,Pre-event Beds,275,-27,CaCO3,9.91
Bonenburg,Contorta Beds,Pre-event Beds,275,-27,TN,0.06
