section,strat,strat2,sampleid,height,measurement,value
Bonenburg,Contorta Beds,Pre-event Beds,0,3.01,CaCO3,13.34
Bonenburg,Contorta Beds,Pre-event Beds,0,3.01,TN,0.06
Bonenburg,Contorta Beds,Pre-event Beds,0,3.01,del13Ctoc,-27.5
Bonenburg,Contorta Beds,Pre-event Beds,0,3.01,TOCcfb,1.16
Bonenburg,Contorta Beds,Pre-event Beds,0,3.01,Na_Al,0.03139553179448644
Bonenburg,Contorta Beds,Pre-event Beds,0,3.01,K_Al,0.21647278805557907
Bonenburg,Contorta Beds,Pre-event Beds,100,3.95,CaCO3,3.84
Bonenburg,Contorta Beds,Pre-event Beds,100,3.95,TN,0.07
Bonenburg,Contorta Beds,Pre-event Beds,100,3.95,del13Ctoc,-27.3
Bonenburg,Contorta Beds,Pre-event Beds,100,3.95,TOCcfb,0.96
Bonenburg,Contorta Beds,Pre-event Beds,100,3.95,Na_Al,0.024969749981154404
Bonenburg,Contorta Beds,Pre-event Beds,100,3.95,K_Al,0.21139687440462065
Bonenburg,Contorta Beds,Pre-event Beds,150,4.43,CaCO3,5.86
Bonenburg,Contorta Beds,Pre-event Beds,150,4.43,TN,0.07
Bonenburg,Contorta Beds,Pre-event Beds,150,4.43,del13Ctoc,-27
Bonenburg,Contorta Beds,Pre-event Beds,150,4.43,TOCcfb,1.25
Bonenburg,Contorta Beds,Pre-event Beds,150,4.43,Na_Al,0.019748802257822114
Bonenburg,Contorta Beds,Pre-event Beds,150,4.43,K_Al,0.223754145471994
Bonenburg,Contorta Beds,Pre-event Beds,200,4.94,CaCO3,12.84
Bonenburg,Contorta Beds,Pre-event Beds,200,4.94,TN,0.07
Bonenburg,Contorta Beds,Pre-event Beds,200,4.94,del13Ctoc,-27.8
Bonenburg,Contorta Beds,Pre-event Beds,200,4.94,TOCcfb,1.52
Bonenburg,Contorta Beds,Pre-event Beds,200,4.94,Na_Al,0.02312054898476736
Bonenburg,Contorta Beds,Pre-event Beds,200,4.94,K_Al,0.23632492666750535
Bonenburg,Contorta Beds,Pre-event Beds,250,5.25,CaCO3,3.34
Bonenburg,Contorta Beds,Pre-event Beds,250,5.25,TN,0.09
Bonenburg,Contorta Beds,Pre-event Beds,250,5.25,del13Ctoc,-27.6
Bonenburg,Contorta Beds,Pre-event Beds,250,5.25,TOCcfb,2.45
Bonenburg,Contorta Beds,Pre-event Beds,250,5.25,Na_Al,0.033004847608962995
Bonenburg,Contorta Beds,Pre-event Beds,250,5.25,K_Al,0.24339844443290312
Bonenburg,Contorta Beds,Pre-event Beds,275,5.68,CaCO3,9.91
Bonenburg,Contorta Beds,Pre-event Beds,275,5.68,TN,0.06
Bonenburg,Contorta Beds,Pre-event Beds,275,5.68,del13Ctoc,-27
Bonenburg,Contorta Beds,Pre-event Beds,275,5.68,TOCcfb,1.19
Bonenburg,Contorta Beds,Pre-event Beds,275,5.68,Na_Al,0.020091267036859494
