section,strat,strat2,sampleid,height,CaCO3,TN,del13Ctoc,TOCcfb,Al2O3_pc,Na2O_pc,K2O_pc
Bonenburg,Contorta Beds,Pre-event Beds,0,3.01,13.34,0.06,-27.5,1.16,15.6,0.62,3.25
Bonenburg,Contorta Beds,Pre-event Beds,100,3.95,3.84,0.07,-27.3,0.96,17.4,0.55,3.54
Bonenburg,Contorta Beds,Pre-event Beds,150,4.43,5.86,0.07,-27,1.25,17.6,0.44,3.79
Bonenburg,Contorta Beds,Pre-event Beds,200,4.94,12.84,0.07,-27.8,1.52,16.4,0.48,3.73
Bonenburg,Contorta Beds,Pre-event Beds,250,5.25,3.34,0.09,-27.6,2.45,14.6,0.61,3.42
Bonenburg,Contorta Beds,Pre-event Beds,275,5.68,9.91,0.06,-27,1.19,17.3,0.44,4.18
Bonenburg,Contorta Beds,Pre-event Beds,350,6.41,20.46,0.06,-27.5,1.14,15.1,0.51,3.92
Bonenburg,Contorta Beds,Pre-event Beds,400,6.9,19.31,0.06,-27,1.12,15.9,0.44,3.94
Bonenburg,Contorta Beds,Pre-event Beds,450,7.4,2.88,0.05,-25.4,0.69,14.2,0.85,3.54
Bonenburg,Contorta Beds,Pre-event Beds,500,7.88,26.52,0.05,-27.6,1.83,13.5,0.53,3.52
Bonenburg,Contorta Beds,Pre-event Beds,550,8.39,14.98,0.07,-29.2,2.35,17.8,0.46,4.12
Bonenburg,Contorta Beds,Pre-event Beds,610,8.97,2.82,0.07,-27,1.76,15.7,0.49,3.3
Bonenburg,Contorta Beds,Pre-event Beds,650,9.38,3.26,0.05,-27,0.93,14.5,0.74,2.81
Bonenburg,Contorta Beds,Pre-event Beds,700,9.86,11.49,0.08,-28.4,1.99,18,0.39,3.91
Bonenburg,Contorta Beds,Pre-event Beds,750,10.36,3.86,0.05,-25.1,1.01,17.4,0.58,3.59
Bonenburg,Contorta Beds,Pre-event Beds,800,10.84,4.22,0.07,-24.8,1.01,18.5,0.45,3.89
Bonenburg,Contorta Beds,Pre-event Beds,900,11.82,3.93,0.07,-26.7,1.69,16.3,0.54,3.18
Bonenburg,Contorta Beds,Pre-event Beds,920,12.04,3.68,0.07,-27.1,1.93,16.8,0.54,3.26
Bonenburg,Contorta Beds,Pre-event Beds,952,12.36,4.77,0.07,-27,1.77,16.9,0.54,3.23
Bonenburg,Contorta Beds,Pre-event Beds,980,12.62,5.02,0.06,-27.2,2.19,15.7,0.68,3.11
Bonenburg,Contorta Beds,Pre-event Beds,1012,12.91,5.79,0.03,-27.6,2.37,13.6,0.74,2.74
Bonenburg,Contorta Beds,Pre-event Beds,1018,13,4.31,0.07,-27.1,2.4,19.8,0.33,3.57
Bonenburg,Contorta Beds,Pre-event Beds,1036,13.11,9.9,0.11,-27.7,4.85,10,0.63,2
Bonenburg,Contorta Beds,Pre-event Beds,1042,13.23,8.95,0.07,-28.1,1.89,19.5,0.47,3.71
Bonenburg,Contorta Beds,Pre-event Beds,1051,13.33,12.13,0.06,-25.1,0.77,23.5,0.32,3.59
Bonenburg,Triletes Beds,Event Beds,1075,13.55,10.06,0.06,-23,0.54,25.3,0.16,3.18
Bonenburg,Triletes Beds,Event Beds,1100,13.89,6.98,0.05,-24,0.35,25.2,0.21,3.09
Bonenburg,Triletes Beds,Event Beds,1150,14.24,8.07,0.05,-23.9,0.53,25.5,0.16,3.07
Bonenburg,Triletes Beds,Event Beds,1200,14.65,9.8,0.05,-23.4,0.37,26.3,0.2,3.12
Bonenburg,Triletes Beds,Event Beds,1250,15.07,8.03,0.05,-23.7,0.45,24.9,0.17,2.8
Bonenburg,Triletes Beds,Event Beds,1300,15.5,13.19,0.03,-23.6,0.39,18.3,0.19,2.18
Bonenburg,Triletes Beds,Event Beds,1350,15.9,13.52,0.04,-23.2,0.34,23.6,0.18,2.81
Bonenburg,Triletes Beds,Event Beds,1400,16.29,11.76,0.04,-23.3,0.45,22.7,0.2,2.59
Bonenburg,Triletes Beds,Event Beds,1450,16.72,8.82,0.04,-23.5,0.48,19.7,0.21,2.96
Bonenburg,Triletes Beds,Event Beds,1500,17.15,10.82,0.03,-23.2,0.42,19.9,0.21,2.33
Bonenburg,Triletes Beds,Event Beds,1550,17.55,9.02,0.05,-23.5,0.3,23.1,0.19,3.19
Bonenburg,Triletes Beds,Event Beds,1600,17.94,5.98,0.05,-23.3,0.4,24.5,0.36,3.15
Bonenburg,Triletes Beds,Event Beds,1700,18.81,10.25,0.03,-23,0.36,15.6,0.22,1.86
Bonenburg,Triletes Beds,Event Beds,1755,19.23,13.9,0.02,-23.2,0.22,12,0.25,1.45
Bonenburg,Triletes Beds,Event Beds,1800,19.62,8.65,0.04,-24,0.36,22.3,0.21,2.71
Bonenburg,Triletes Beds,Event Beds,1850,20.02,11.61,0.03,-23.4,0.34,20.9,0.19,2.35
Bonenburg,Triletes Beds,Event Beds,1900,20.43,9.74,0.03,-24,0.36,16.6,0.33,1.84
Bonenburg,Triletes Beds,Event Beds,1950,20.87,10.2,0.03,-23.8,0.36,16,0.25,1.79
Bonenburg,Triletes Beds,Event Beds,2000,21.29,10.34,0.03,-24.8,0.46,17.9,0.22,2.22
Bonenburg,Triletes Beds,Event Beds,2095,22.11,10.36,0.04,-23.5,0.33,18.9,0.25,2.6
Bonenburg,Triletes Beds,Event Beds,2150,22.5,13.17,0.02,-23.3,0.14,13.7,0.39,1.95
Bonenburg,Triletes Beds,Event Beds,2250,23.31,15.85,0.02,-23.4,0.21,17.7,0.29,2.24
Bonenburg,Triletes Beds,Event Beds,2300,23.73,7.25,0.03,-23.3,0.17,23.5,0.21,2.3
Bonenburg,Triletes Beds,Event Beds,2350,24.17,13.05,0.03,-23.3,0.24,15.3,0.35,2.21
Bonenburg,Triletes Beds,Event Beds,2400,24.65,9.46,0.04,-23.6,0.55,20.2,0.37,2.91
Bonenburg,Triletes Beds,Event Beds,2450,25.03,13.41,0.03,-23.3,0.31,16.8,0.37,2.32
Bonenburg,Triletes Beds,Event Beds,2500,25.4,15.39,0.02,-23.5,0.12,13.4,0.56,1.93
Bonenburg,Triletes Beds,Event Beds,2550,25.81,14.99,0.03,-23.2,0.15,18.2,0.26,2.47
Bonenburg,Triletes Beds,Event Beds,2650,26.73,14.8,0.02,-23.4,0.14,13.9,0.37,2.03
Bonenburg,Triletes Beds,Event Beds,2700,27.2,12.38,0.03,-23.4,0.18,15.7,0.41,2.64
Bonenburg,Triletes Beds,Event Beds,2750,27.47,11.23,0.02,-23.2,0.11,13.1,0.47,1.91
Bonenburg,Triletes Beds,Event Beds,2770,27.65,11.99,0.02,-23.5,0.17,14.6,0.37,2.46
Bonenburg,Triletes Beds,Event Beds,2800,27.88,12.24,0.22,-23.1,0.19,18.8,0.34,2.62
Bonenburg,Triletes Beds,Event Beds,2820,28.09,7.27,0.03,-23,0.24,13.3,0.42,1.92
Bonenburg,Triletes Beds,Event Beds,2890,28.69,3.78,0.02,-22.8,0.09,12.3,0.37,1.65
Bonenburg,Triletes Beds,Event Beds,2920,28.93,8.96,0.02,-24.2,0.18,16.4,0.39,2.22
Bonenburg,Triletes Beds,Event Beds,2950,29.16,3.97,0.02,-22.9,0.12,16.3,0.45,2.38
Bonenburg,Triletes Beds,Event Beds,2970,29.39,9.19,0.02,-22.6,0.09,14,0.41,2
Bonenburg,Psilonotenton Formation,Post-event Beds,3000,29.72,8.22,0.04,-27.5,0.72,16.5,0.25,2.15
Bonenburg,Psilonotenton Formation,Post-event Beds,3020,29.85,17,0.04,-27.7,0.71,15.3,0.26,2.28
Bonenburg,Psilonotenton Formation,Post-event Beds,3040,30.02,10.66,0.06,-28.8,1.46,20.1,0.28,3.46
Bonenburg,Psilonotenton Formation,Post-event Beds,3060,30.16,29.33,0.03,-26.6,0.56,14.3,0.27,2.63
Bonenburg,Psilonotenton Formation,Post-event Beds,3100,30.56,92.64,0.01,-28,2.29,2.3,0.1,0.33
Bonenburg,Psilonotenton Formation,Post-event Beds,3125,30.79,65.18,0.04,-29.2,3.14,7.4,0.22,1.17
Bonenburg,Psilonotenton Formation,Post-event Beds,3140,30.97,31.17,0.06,-28.6,3.75,11.6,0.24,1.93
Bonenburg,Psilonotenton Formation,Post-event Beds,3170,31.17,57.87,0.02,-26.9,0.6,9.8,0.15,1.5
Bonenburg,Psilonotenton Formation,Post-event Beds,3200,31.55,12.82,0.05,-26.9,1.06,22.3,0.24,3.41
Bonenburg,Psilonotenton Formation,Post-event Beds,3220,31.72,9.27,0.11,-30,5.47,15,0.32,3.07
Bonenburg,Psilonotenton Formation,Post-event Beds,3300,32.53,52.74,0.04,-26.3,0.88,11.4,0.25,1.87
Bonenburg,Psilonotenton Formation,Post-event Beds,3315,32.67,60.21,0.02,-26.1,0.5,9,0.22,1.56
Bonenburg,Psilonotenton Formation,Post-event Beds,3375,33.36,80.94,0.01,-26.2,0.89,5.3,0.12,0.93
Bonenburg,Psilonotenton Formation,Post-event Beds,3400,33.58,49.41,0.03,-25.4,0.42,10.8,0.24,1.88
Bonenburg,Psilonotenton Formation,Post-event Beds,3450,33.9,80.66,0.01,-26,0.44,4.7,0.09,0.78
Bonenburg,Psilonotenton Formation,Post-event Beds,3500,34.17,68.55,0.02,-25.8,0.49,6.8,0.15,1.12
Bonenburg,Psilonotenton Formation,Post-event Beds,3530,34.34,66.6,0.02,-25.4,0.34,6.7,0.17,1.21
Bonenburg,Psilonotenton Formation,Post-event Beds,3550,34.44,7.72,0.05,-27.5,1.11,21.3,0.25,3.13
