height,type,label,count
1600,landplant,pollen,31
1600,landplant,spores,277
1600,environment,aquatic,65
1600,environment,terrestrial,308
1365,landplant,pollen,27
1365,landplant,spores,262
1365,environment,aquatic,114
1365,environment,terrestrial,289
1125,landplant,pollen,22
1125,landplant,spores,282
1125,environment,aquatic,40
1125,environment,terrestrial,304
1045,landplant,pollen,24
1045,landplant,spores,276
1045,environment,aquatic,44
1045,environment,terrestrial,300
965,landplant,pollen,29
965,landplant,spores,276
965,environment,aquatic,75
965,environment,terrestrial,305
885,landplant,pollen,19
885,landplant,spores,284
885,environment,aquatic,70
885,environment,terrestrial,303
805,landplant,pollen,16
805,landplant,spores,264
805,environment,aquatic,148
805,environment,terrestrial,280
775,landplant,pollen,12
775,landplant,spores,298
775,environment,aquatic,164
775,environment,terrestrial,310
745,landplant,pollen,17
745,landplant,spores,302
745,environment,aquatic,123
745,environment,terrestrial,319
715,landplant,pollen,16
715,landplant,spores,282
715,environment,aquatic,134
715,environment,terrestrial,298
685,landplant,pollen,16
685,landplant,spores,298
685,environment,aquatic,151
685,environment,terrestrial,314
655,landplant,pollen,21
655,landplant,spores,288
655,environment,aquatic,219
655,environment,terrestrial,309
625,landplant,pollen,18
625,landplant,spores,280
625,environment,aquatic,76
625,environment,terrestrial,298
595,landplant,pollen,13
595,landplant,spores,288
595,environment,aquatic,78
595,environment,terrestrial,301
580,landplant,pollen,24
580,landplant,spores,283
580,environment,aquatic,180
580,environment,terrestrial,307
565,landplant,pollen,16
565,landplant,spores,283
565,environment,aquatic,193
565,environment,terrestrial,299
535,landplant,pollen,12
535,landplant,spores,289
535,environment,aquatic,84
535,environment,terrestrial,301
505,landplant,pollen,12
505,landplant,spores,305
505,environment,aquatic,165
505,environment,terrestrial,317
475,landplant,pollen,37
475,landplant,spores,257
475,environment,aquatic,253
475,environment,terrestrial,294
445,landplant,pollen,107
445,landplant,spores,204
445,environment,aquatic,103
445,environment,terrestrial,311
415,landplant,pollen,40
415,landplant,spores,275
415,environment,aquatic,182
415,environment,terrestrial,315
380,landplant,pollen,31
380,landplant,spores,275
380,environment,aquatic,49
380,environment,terrestrial,306
345,landplant,pollen,39
345,landplant,spores,277
345,environment,aquatic,124
345,environment,terrestrial,316
305,landplant,pollen,46
305,landplant,spores,275
305,environment,aquatic,89
305,environment,terrestrial,321
265,landplant,pollen,24
265,landplant,spores,295
265,environment,aquatic,400
265,environment,terrestrial,319
245,landplant,pollen,39
245,landplant,spores,297
245,environment,aquatic,85
245,environment,terrestrial,336
236,landplant,pollen,108
236,landplant,spores,201
236,environment,aquatic,163
236,environment,terrestrial,309
230,landplant,pollen,36
230,landplant,spores,283
230,environment,aquatic,91
230,environment,terrestrial,319
205,landplant,pollen,61
205,landplant,spores,260
205,environment,aquatic,42
205,environment,terrestrial,321
150,landplant,pollen,117
150,landplant,spores,235
150,environment,aquatic,16
150,environment,terrestrial,352
130,landplant,pollen,93
130,landplant,spores,213
130,environment,aquatic,14
130,environment,terrestrial,306
110,landplant,pollen,100
110,landplant,spores,226
110,environment,aquatic,23
110,environment,terrestrial,326
90,landplant,pollen,96
90,landplant,spores,205
90,environment,aquatic,39
90,environment,terrestrial,301
70,landplant,pollen,131
70,landplant,spores,184
70,environment,aquatic,48
70,environment,terrestrial,315
20,landplant,pollen,118
20,landplant,spores,66
20,environment,aquatic,106
20,environment,terrestrial,184
15,landplant,pollen,225
15,landplant,spores,116
15,environment,aquatic,212
15,environment,terrestrial,341
8,landplant,pollen,213
8,landplant,spores,95
8,environment,aquatic,1074
8,environment,terrestrial,308
7,landplant,pollen,196
7,landplant,spores,118
7,environment,aquatic,165
7,environment,terrestrial,314
6,landplant,pollen,204
6,landplant,spores,114
6,environment,aquatic,152
6,environment,terrestrial,318
4,landplant,pollen,135
4,landplant,spores,164
4,environment,aquatic,172
4,environment,terrestrial,299
0.5,landplant,pollen,87
0.5,landplant,spores,20
0.5,environment,aquatic,34
0.5,environment,terrestrial,107
-1,landplant,pollen,122
-1,landplant,spores,4
-1,environment,aquatic,21
-1,environment,terrestrial,126
-4,landplant,pollen,284
-4,landplant,spores,32
-4,environment,aquatic,256
-4,environment,terrestrial,316
-6,landplant,pollen,304
-6,landplant,spores,29
-6,environment,aquatic,399
-6,environment,terrestrial,333
-18,landplant,pollen,155
-18,landplant,spores,22
-18,environment,aquatic,369
-18,environment,terrestrial,177
